Serviço,Tarifa,Isenção,Detalhes,Resumo
Conta digital,"Tarifa mensal de R$20,00",Isento para contas universitárias,Taxas reduzidas para servidores públicos.,"O serviço 'Conta digital' possui uma tarifa de Tarifa mensal de R$20,00. Isento para contas universitárias. Taxas reduzidas para servidores públicos."
Investimento CDB,Gratuito,Desconto para clientes do banco,Compensação em até 1 dia útil.,O serviço 'Investimento CDB' possui uma tarifa de Gratuito. Desconto para clientes do banco. Compensação em até 1 dia útil.
Financiamento imobiliário,"R$10,00 por operação",Sem restrições,Ideal para quem busca praticidade.,"O serviço 'Financiamento imobiliário' possui uma tarifa de R$10,00 por operação. Sem restrições. Ideal para quem busca praticidade."
Saque na rede 24h,"Taxa de 0,5% ao mês","Isento para gastos acima de R$5.000,00/mês",Taxas reduzidas para servidores públicos.,"O serviço 'Saque na rede 24h' possui uma tarifa de Taxa de 0,5% ao mês. Isento para gastos acima de R$5.000,00/mês. Taxas reduzidas para servidores públicos."
Cartão de crédito,"R$5,00 por operação",Isento para clientes premium,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Cartão de crédito' possui uma tarifa de R$5,00 por operação. Isento para clientes premium. Oferece benefícios exclusivos para clientes do banco."
Débito automático,Juros a partir de 8% ao ano,"Isento para gastos acima de R$5.000,00/mês","Disponível 24h por dia, todos os dias.","O serviço 'Débito automático' possui uma tarifa de Juros a partir de 8% ao ano. Isento para gastos acima de R$5.000,00/mês. Disponível 24h por dia, todos os dias."
Transferência via DOC,"Taxa de 0,5% ao mês","Isento para gastos acima de R$5.000,00/mês","Disponível 24h por dia, todos os dias.","O serviço 'Transferência via DOC' possui uma tarifa de Taxa de 0,5% ao mês. Isento para gastos acima de R$5.000,00/mês. Disponível 24h por dia, todos os dias."
Conta digital,Juros a partir de 8% ao ano,Isento para clientes premium,Compensação em até 1 dia útil.,O serviço 'Conta digital' possui uma tarifa de Juros a partir de 8% ao ano. Isento para clientes premium. Compensação em até 1 dia útil.
Transferência via TED,"Taxa de 0,5% ao mês",Desconto para clientes do banco,Compensação em até 1 dia útil.,"O serviço 'Transferência via TED' possui uma tarifa de Taxa de 0,5% ao mês. Desconto para clientes do banco. Compensação em até 1 dia útil."
Conta digital,"Tarifa mensal de R$20,00","Isento para gastos acima de R$5.000,00/mês",Taxas reduzidas para servidores públicos.,"O serviço 'Conta digital' possui uma tarifa de Tarifa mensal de R$20,00. Isento para gastos acima de R$5.000,00/mês. Taxas reduzidas para servidores públicos."
Conta digital,"Tarifa mensal de R$20,00",Isento para contas universitárias,Compensação em até 1 dia útil.,"O serviço 'Conta digital' possui uma tarifa de Tarifa mensal de R$20,00. Isento para contas universitárias. Compensação em até 1 dia útil."
Conta digital,"R$5,00 por operação",Desconto para clientes do banco,Alternativa moderna e eficiente.,"O serviço 'Conta digital' possui uma tarifa de R$5,00 por operação. Desconto para clientes do banco. Alternativa moderna e eficiente."
Financiamento imobiliário,"Taxa de 0,5% ao mês",Sem restrições,Taxas reduzidas para servidores públicos.,"O serviço 'Financiamento imobiliário' possui uma tarifa de Taxa de 0,5% ao mês. Sem restrições. Taxas reduzidas para servidores públicos."
Pix,"Taxa de 0,5% ao mês",Sem restrições,Alternativa moderna e eficiente.,"O serviço 'Pix' possui uma tarifa de Taxa de 0,5% ao mês. Sem restrições. Alternativa moderna e eficiente."
Financiamento imobiliário,"R$5,00 por operação","Isento para gastos acima de R$5.000,00/mês",Compensação em até 1 dia útil.,"O serviço 'Financiamento imobiliário' possui uma tarifa de R$5,00 por operação. Isento para gastos acima de R$5.000,00/mês. Compensação em até 1 dia útil."
Pix,Gratuito,Isento para contas universitárias,Ideal para quem busca praticidade.,O serviço 'Pix' possui uma tarifa de Gratuito. Isento para contas universitárias. Ideal para quem busca praticidade.
